Iteration,Loss,Test loss,Accuracy,Test accuracy
49,0.5305953256664728,0.5345325357221233,1.0,1.0
50,0.5270117481817308,0.530999079748638,1.0,1.0
51,0.523482760600367,0.5275040871281016,1.0,1.0
52,0.5200092625301165,0.5240471586667291,1.0,1.0
53,0.5165896778245528,0.5206274954042043,1.0,1.0
54,0.5132216844232066,0.5172455003052181,1.0,1.0
55,0.5099039828301878,0.5139038593837539,1.0,1.0
56,0.5066375387395484,0.5106077897225525,1.0,1.0
57,0.5034259552073544,0.5073644343486561,1.0,1.0
58,0.500274937874871,0.5041816507959003,1.0,1.0
59,0.497191101610068,0.5010665999713041,1.0,1.0
60,0.4941805393623725,0.4980245623889338,1.0,1.0
61,0.49124759922819305,0.4950583071935772,1.0,1.0
62,0.48839421254030424,0.49216815697634153,1.0,1.0
63,0.48561992823546907,0.4893526753183701,1.0,1.0
64,0.48292258609752,0.48660970952314364,1.0,1.0
65,0.48029936056018374,0.4839374124775614,1.0,1.0
66,0.4777477934433218,0.481334895835496,1.0,1.0
67,0.47526646027429414,0.47880233167657515,1.0,1.0
68,0.47285508079869915,0.4763405535289792,1.0,1.0
69,0.47051412088633066,0.4739504020683562,1.0,1.0
70,0.4682441305713586,0.4716321264290273,1.0,1.0
71,0.4660451308493642,0.46938506846307665,1.0,1.0
72,0.4639162795008899,0.46720768313820743,1.0,1.0
73,0.46185587259344135,0.4650977849625645,1.0,1.0
74,0.45986157494222546,0.4630528402060005,1.0,1.0
75,0.4579307019416203,0.46107016418616137,1.0,1.0
76,0.4560604133559326,0.4591469837627573,1.0,1.0
77,0.4542477791051505,0.4572804176688583,1.0,1.0
78,0.4524897685302939,0.455467465204561,1.0,1.0
79,0.4507832520001245,0.4537050708721444,1.0,1.0
80,0.449125080513789,0.45199027262360897,1.0,1.0
81,0.4475122487350802,0.4503203805248577,1.0,1.0
82,0.44594208563058485,0.44869310293494596,1.0,1.0
83,0.44441238696605934,0.4471065542089985,1.0,1.0
84,0.44292142113742466,0.44555913298918076,1.0,1.0
85,0.4414677958343969,0.44404932449163925,1.0,1.0
86,0.4400502388367499,0.44257551968512654,1.0,1.0
87,0.438667387365046,0.4411359381098868,1.0,1.0
88,0.43731767576797237,0.43972869283982435,1.0,1.0
89,0.4359993642291569,0.43835197085388955,1.0,1.0
90,0.434710686524694,0.43700425239002194,1.0,1.0
91,0.4334500450386137,0.4356844813530466,1.0,1.0
92,0.4322161688610476,0.43439212735869837,1.0,1.0
93,0.431008177820045,0.4331271306127018,1.0,1.0
94,0.42982554409209556,0.4318897672623497,1.0,1.0
95,0.42866798758173674,0.43068049452614676,1.0,1.0
96,0.4275353611731358,0.4294998260449569,1.0,1.0
97,0.4264275716665149,0.42834825828932666,1.0,1.0
98,0.4253445517376325,0.4272262370402572,1.0,1.0
99,0.4242862663856819,0.42613413578645953,1.0,1.0
100,0.4232527210435194,0.42507222177666937,1.0,1.0
101,0.4222439441186,0.4240406041182284,1.0,1.0
102,0.4212599375317748,0.4230391778940022,1.0,1.0
103,0.4203006105254194,0.422067586520121,1.0,1.0
104,0.4193657219685342,0.42112521781756085,1.0,1.0
105,0.4184548506936927,0.4202112334021515,1.0,1.0
106,0.41756739786116853,0.4193246165864789,1.0,1.0
107,0.41670261056453656,0.41846421928876004,1.0,1.0
108,0.41585961023716217,0.41762879469321357,1.0,1.0
109,0.415037414308845,0.4168170140277367,1.0,1.0
110,0.4142349496509504,0.4160274748597749,1.0,1.0
111,0.41345106391982267,0.4152587097928435,1.0,1.0
112,0.41268454122111836,0.4145091991991806,1.0,1.0
113,0.41193412259406625,0.4137773849699864,1.0,1.0
114,0.411198525118512,0.41306167984206443,1.0,1.0
115,0.41047645165650004,0.4123604705462303,1.0,1.0
116,0.40976658812277145,0.41167211974970647,1.0,1.0
117,0.40906759341361254,0.41099497595434364,1.0,1.0
118,0.4083780928034044,0.41032739828704595,1.0,1.0
119,0.40769668455053376,0.409667795194432,1.0,1.0
120,0.40702196212838576,0.40901466727719565,1.0,1.0
121,0.40635254565303147,0.4083666404607551,1.0,1.0
122,0.40568711132211416,0.40772247891467883,1.0,1.0
123,0.4050244096500091,0.4070810754902429,1.0,1.0
124,0.4043632700782154,0.40644142586342963,1.0,1.0
125,0.40370259634542144,0.40580259653695533,1.0,1.0
126,0.40304135960271037,0.40516369524278245,1.0,1.0
127,0.4023785938151951,0.40452384756743276,1.0,1.0
128,0.40171339318991206,0.4038821795865924,1.0,1.0
129,0.4010449080759528,0.40323780518145014,1.0,1.0
130,0.40037233611689615,0.402589817909154,1.0,1.0
131,0.3996949084879784,0.40193728841705356,1.0,1.0
132,0.39901187401483246,0.4012792675463848,1.0,1.0
133,0.39832248456052044,0.40061479269732303,1.0,1.0
134,0.3976259832066188,0.3999428927401314,1.0,1.0
135,0.39692159431385177,0.39926258675427256,1.0,1.0
136,0.3962085135697864,0.3985728744522874,1.0,1.0
137,0.39548589713199167,0.3978727196892057,1.0,1.0
138,0.3947528507072335,0.3971610308044672,1.0,1.0
139,0.39400842013150783,0.3964366416271385,1.0,1.0
140,0.3932515840655803,0.39569829542821205,1.0,1.0
141,0.39248124769160114,0.3949446324190528,1.0,1.0
142,0.3916962353251985,0.39417418055731485,1.0,1.0
143,0.39089528042490823,0.39338534925152374,1.0,1.0
144,0.39007701301041015,0.39257642523267633,1.0,1.0
145,0.3892399457031352,0.3917455689709457,1.0,1.0
146,0.38838245966019896,0.3908908090708629,1.0,1.0
147,0.3875027908686677,0.39001003207477336,1.0,1.0
148,0.38659901658906637,0.3891009665992792,1.0,1.0
149,0.38566904194553214,0.38816116331275685,1.0,1.0
150,0.38471058770104916,0.38718797484395395,1.0,1.0
151,0.3837211814523031,0.3861785413001612,1.0,1.0
152,0.38269815519299827,0.3851297873563955,1.0,1.0
153,0.3816386523127561,0.38403843620785705,1.0,1.0
154,0.3805396469643916,0.38290104463076585,1.0,1.0
155,0.3793979787198741,0.3817140623468201,1.0,1.0
156,0.378210405609599,0.3804739179098322,1.0,1.0
157,0.3769736787603287,0.3791771323602693,1.0,1.0
158,0.3756846416116513,0.3778204608705424,1.0,1.0
159,0.37434035594128084,0.3764010615058734,1.0,1.0
160,0.37293825566762623,0.3749166889669287,1.0,1.0
161,0.37147632766305816,0.3733659095646445,1.0,1.0
162,0.36995331658099173,0.3717483314644241,1.0,1.0
163,0.3683689479064617,0.37006484129370376,1.0,1.0
164,0.36672416008000924,0.368317834641752,1.0,1.0
165,0.36502133278697696,0.3665114241870014,1.0,1.0
166,0.3632644947304162,0.36465160579379763,1.0,1.0
167,0.3614594909747329,0.36274636068743527,1.0,1.0
168,0.3596140879190216,0.36080567152030263,1.0,1.0
169,0.3577379938096399,0.3588414324590833,1.0,1.0
170,0.35584277503144407,0.356867238806072,1.0,1.0
171,0.3539416536446561,0.35489805020960835,1.0,1.0
172,0.352049179866919,0.3529497328227991,1.0,1.0
173,0.35018078410298165,0.3510384988629819,1.0,1.0
174,0.3483522258269553,0.3491802753609539,1.0,1.0
175,0.3465789697066274,0.34739004547817004,1.0,1.0
176,0.3448755309668329,0.34568121344781677,1.0,1.0
177,0.34325484005703555,0.3440650460310444,1.0,1.0
178,0.34172767931618514,0.3425502381775665,1.0,1.0
179,0.34030224023818934,0.34114263837655445,1.0,1.0
180,0.3389838389557041,0.3398451515558671,1.0,1.0
181,0.33777481093240713,0.3386578173502281,1.0,1.0
182,0.3366745862482388,0.3375780429162352,1.0,1.0
183,0.3356799278223808,0.3366009557337582,1.0,1.0
184,0.33478529989980343,0.3357198351050403,1.0,1.0
185,0.33398332544089876,0.33492658142731263,1.0,1.0
186,0.3332652892145846,0.3342121880040673,1.0,1.0
187,0.3326216471762538,0.3335671884094622,1.0,1.0
188,0.3320425098409947,0.33298206056596613,1.0,1.0
189,0.3315180754769199,0.3324475750412498,1.0,1.0
190,0.3310389963700215,0.3319550792368137,1.0,1.0
191,0.33059666751049654,0.33149671186859586,1.0,1.0
192,0.3301834320922456,0.33106554471267574,1.0,1.0
193,0.32979270293914864,0.3306556521288332,1.0,1.0
194,0.3294190040204123,0.3302621137503818,1.0,1.0
195,0.3290579416845631,0.3298809612865299,1.0,1.0
196,0.3287061204574514,0.32950908513004207,1.0,1.0
197,0.3283610219475056,0.3291441187116362,1.0,1.0
198,0.3280208662728799,0.3287843172872745,1.0,1.0
199,0.3276844728628006,0.3284284434009337,1.0,1.0
