Iteration,Loss,Test loss,Accuracy,Test accuracy
0,1.0522359000011594,1.005349565155149,0.2890625,0.2734375
1,0.9978524250423848,0.9551060704713665,0.5078125,0.5078125
2,0.9474989211095949,0.9090630399490846,0.6875,0.6484375
3,0.9015399613488001,0.8672174959033944,0.7734375,0.734375
4,0.8599961920511758,0.8291835253478808,0.828125,0.8046875
5,0.8224392208086333,0.7943095365551014,0.859375,0.875
6,0.7881397933376805,0.7620281341311702,0.90625,0.9296875
7,0.756463487950754,0.7319509677970688,0.953125,0.9765625
8,0.7269807451124216,0.7037842185179785,0.9921875,0.9921875
9,0.6993742470473252,0.6772431956574295,1.0,1.0
10,0.6733478105853743,0.6520045607963688,1.0,1.0
11,0.6485742523255082,0.627705722700848,1.0,1.0
12,0.6246896470322012,0.6039972012540109,1.0,1.0
13,0.6013415307580586,0.580628636040417,1.0,1.0
14,0.5782739004655989,0.5575108723470414,1.0,1.0
15,0.5553912426035726,0.5347128276221542,1.0,1.0
16,0.5327583762587295,0.5124096406128428,1.0,1.0
17,0.5105509954242545,0.4908177717473309,1.0,1.0
18,0.4889920267136337,0.47013506580467945,1.0,1.0
19,0.46829158401500864,0.4504931202382873,1.0,1.0
20,0.4485976570697361,0.4319334882429611,1.0,1.0
21,0.42996954999109915,0.4144118280664993,1.0,1.0
22,0.41237945175118873,0.39782133311201684,1.0,1.0
23,0.395734164632954,0.3820315304195357,1.0,1.0
24,0.37991289596304173,0.3669389459844341,1.0,1.0
25,0.36481749502713373,0.3525118101223372,1.0,1.0
26,0.3504172873760638,0.3388053555081624,1.0,1.0
27,0.3367649516586968,0.3259384136864594,1.0,1.0
28,0.32397408353887097,0.3140390368632015,1.0,1.0
29,0.31216608746433117,0.30317949416198087,1.0,1.0
30,0.30140640021250303,0.29333052440524093,1.0,1.0
31,0.2916596278446895,0.284359389899565,1.0,1.0
32,0.2827881881729983,0.2760742462640713,1.0,1.0
33,0.27459715360992104,0.26829117231239047,1.0,1.0
34,0.26690167873516046,0.26088855807541184,1.0,1.0
35,0.259581548455427,0.25382382448308455,1.0,1.0
36,0.25259757910663916,0.24710964961540174,1.0,1.0
37,0.24596692161913622,0.24076876220322233,1.0,1.0
38,0.23971647100818438,0.2347972115795867,1.0,1.0
39,0.23384472200345097,0.22915744964130275,1.0,1.0
40,0.2283139579184617,0.223798867843554,1.0,1.0
41,0.22307079636103946,0.21868354806674611,1.0,1.0
42,0.2180728281225026,0.21379496223172723,1.0,1.0
43,0.21329868233407495,0.2091249052478123,1.0,1.0
44,0.2087362538574328,0.2046538847669981,1.0,1.0
45,0.20436384843005967,0.20034674957660079,1.0,1.0
46,0.20014579966812113,0.19617131326083426,1.0,1.0
47,0.1960504536335712,0.19212451994998614,1.0,1.0
48,0.19207553113559708,0.1882423629298572,1.0,1.0
49,0.18825753562861156,0.18458380409524988,1.0,1.0
50,0.184655588769397,0.1811988221339643,1.0,1.0
51,0.18131965977423126,0.1781008456223695,1.0,1.0
52,0.17826320253907757,0.17526078153629673,1.0,1.0
53,0.17545723348545395,0.1726258054431155,1.0,1.0
54,0.17284897679483238,0.1701484752562808,1.0,1.0
55,0.17039077985645087,0.16780472367026156,1.0,1.0
56,0.16805809628663348,0.1655907538088233,1.0,1.0
57,0.16584668919579934,0.16350725250886283,1.0,1.0
58,0.16375734385463467,0.16154665501474513,1.0,1.0
