Iteration,Loss,Test loss,Accuracy,Test accuracy
1,1.1908503517584657,1.0925114198669907,0.4921875,0.453125
2,1.092425503963574,0.9964732362876874,0.53125,0.46875
3,0.9978141521381688,0.907964271700182,0.625,0.59375
4,0.9103309324708021,0.8295080928819578,0.609375,0.5859375
5,0.8324756009711115,0.762545616204871,0.671875,0.65625
6,0.7657347038140874,0.707382857369222,0.8046875,0.7890625
7,0.710481426704423,0.663325036904294,0.875,0.8515625
8,0.6660980908244267,0.6290276320928191,0.875,0.859375
9,0.6313116538923192,0.6028418316736377,0.875,0.859375
10,0.6045304968587852,0.583028776503034,0.875,0.8671875
11,0.5840596616215494,0.5678629570639968,0.8828125,0.875
12,0.5682088305202606,0.5557010096566015,0.8828125,0.875
13,0.5553638662183676,0.5450864745202529,0.8828125,0.875
14,0.5440912693048708,0.5348732330537346,0.8828125,0.875
15,0.5332608547201872,0.5242922502025819,0.90625,0.890625
16,0.5221135998560282,0.512940176109936,0.9140625,0.9140625
17,0.510251965537316,0.5007226797797906,0.953125,0.921875
18,0.49758434463661255,0.4877778493740472,0.9609375,0.96875
19,0.4842492665117444,0.4743903143594876,0.984375,1.0
20,0.47053045768396484,0.4609041187653975,1.0,1.0
21,0.45677078943577304,0.44764548729067904,1.0,1.0
22,0.4432958918281832,0.4348669330444496,1.0,1.0
23,0.4303584734111448,0.4227194251159649,1.0,1.0
24,0.4181099202288973,0.4112517444335263,1.0,1.0
25,0.4065985103641461,0.40042908171930663,1.0,1.0
26,0.39578671848589353,0.3901599087818472,1.0,1.0
27,0.3855770860233785,0.3803223271214747,1.0,1.0
28,0.3758381992587973,0.37078603417572936,1.0,1.0
29,0.3664270516698769,0.36143000501098604,1.0,1.0
30,0.3572077805254202,0.35215707810683544,1.0,1.0
31,0.34806768975635916,0.34290560408218546,1.0,1.0
32,0.33893042111929467,0.3336569334491,1.0,1.0
33,0.3297648392102477,0.3244368720201292,1.0,1.0
34,0.32058764471189105,0.3153095474764707,1.0,1.0
35,0.31145809481726633,0.3063633870303396,1.0,1.0
36,0.30246447114810554,0.2976910106958343,1.0,1.0
37,0.2937040274422118,0.2893673155381409,1.0,1.0
38,0.28526062028791027,0.281431714874656,1.0,1.0
39,0.27718595801156237,0.27388009002404495,1.0,1.0
40,0.2694900977679429,0.2666692634564728,1.0,1.0
41,0.26214419879211687,0.2597326962384428,1.0,1.0
42,0.25509451661427474,0.25300208089073334,1.0,1.0
43,0.2482825820804289,0.24642736838543455,1.0,1.0
44,0.24166427945332158,0.23998883777837773,1.0,1.0
45,0.23522148069017548,0.23369837699503754,1.0,1.0
46,0.22896336935609785,0.22759113213087157,1.0,1.0
47,0.2229185580397068,0.22171148950975075,1.0,1.0
48,0.21712191961474123,0.21609845522039464,1.0,1.0
49,0.21160114357029758,0.21077499030008728,1.0,1.0
50,0.20636747587490892,0.2057440381218243,1.0,1.0
51,0.20141321394063436,0.2009913610157852,1.0,1.0
52,0.19671586107957056,0.1964927840645014,1.0,1.0
53,0.19224632991388463,0.19222210359146844,1.0,1.0
54,0.18797731063429432,0.18815638784313776,1.0,1.0
55,0.18388849651780204,0.1842773280239574,1.0,1.0
56,0.1799673907326955,0.18056951849702896,1.0,1.0
57,0.1762066977057026,0.1770178578059937,1.0,1.0
58,0.17260062720010877,0.1736061688823066,1.0,1.0
59,0.16914233547379962,0.17031797107975977,1.0,1.0
60,0.16582355595258524,0.1671388970506241,1.0,1.0
61,0.16263603796471876,0.16405931152609057,1.0,1.0
62,0.1595734796197221,0.1610756605308976,1.0,1.0
63,0.156632591680047,0.15818985068486333,1.0,1.0
64,0.15381264425359226,0.1554070133460426,1.0,1.0
65,0.1511138207581441,0.15273273424575576,1.0,1.0
66,0.14853534566662777,0.1501708742796853,1.0,1.0
67,0.14607433964577723,0.14772256337793954,1.0,1.0
68,0.14372579671227684,0.14538624022810645,1.0,1.0
69,0.14148339685858832,0.1431581799561351,1.0,1.0
70,0.13934049494148823,0.1410329857817355,1.0,1.0
71,0.1372907291451909,0.13900387885320983,1.0,1.0
72,0.13532811229652383,0.13706298464848202,1.0,1.0
73,0.13344687820654802,0.1352019210776292,1.0,1.0
74,0.13164148699653827,0.13341279363673142,1.0,1.0
75,0.12990700077507814,0.13168936383491361,1.0,1.0
76,0.12823969404513305,0.13002792836717098,1.0,1.0
77,0.12663751414993618,0.1284274904505612,1.0,1.0
78,0.125100021705161,0.12688910134486733,1.0,1.0
79,0.1236277044268949,0.12541462667115966,1.0,1.0
80,0.12222090305310822,0.12400543912586637,1.0,1.0
81,0.12087880972923547,0.12266152957789131,1.0,1.0
82,0.11959897215561079,0.12138127976905841,1.0,1.0
83,0.11837747900140332,0.1201617978042257,1.0,1.0
84,0.11720966019313468,0.11899947357472006,1.0,1.0
85,0.11609090187341775,0.11789039100460819,1.0,1.0
86,0.11501717556222704,0.11683042374815486,1.0,1.0
87,0.11398509747951677,0.1158151019744093,1.0,1.0
88,0.1129916227958489,0.11483950161605587,1.0,1.0
89,0.11203366611750817,0.1138983830769394,1.0,1.0
90,0.11110792855950602,0.11298662845196163,1.0,1.0
91,0.11021103633697282,0.11209981965437592,1.0,1.0
92,0.10933988170617896,0.11123469410056529,1.0,1.0
93,0.1084919364714382,0.11038926634987485,1.0,1.0
94,0.10766534104719448,0.10956257192561097,1.0,1.0
95,0.10685872037493863,0.1087541696737772,1.0,1.0
96,0.10607084129826178,0.10796363201224465,1.0,1.0
97,0.10530030723847228,0.10719021838467813,1.0,1.0
98,0.10454544656261687,0.10643280099471772,1.0,1.0
99,0.10380442599788135,0.10568997538227837,1.0,1.0
100,0.10307549119646998,0.10496021904278535,1.0,1.0
