iteration,loss,training_acc,test_acc
56,0.881984055840302,0.625,0.625
57,0.8729032682086089,0.625,0.625
58,0.8729032682086089,0.625,0.625
59,0.9160387860341512,0.640625,0.625
60,0.9827739239795212,0.625,0.625
61,0.8729032682086089,0.625,0.625
62,0.9176540861005194,0.796875,0.8125
63,0.9186363792711265,0.625,0.625
64,0.8823360901253285,0.625,0.625
65,0.8723005152794916,0.625,0.625
66,0.8537361567519413,0.75,0.75
67,0.8361260279164391,0.75,0.75
68,0.9444437436640226,0.59375,0.6875
69,0.8361874496030677,0.75,0.75
70,0.8709546800544277,0.625,0.625
71,0.838170051689734,0.75,0.75
72,0.880955125922187,0.625,0.625
73,0.8351541082024294,0.75,0.75
74,0.8252276692812657,0.625,0.625
75,0.8396512190123094,0.625,0.625
76,0.8627820860182565,0.625,0.5625
77,0.8249751255570446,0.640625,0.625
78,0.8795246448977452,0.640625,0.5
79,0.8258673715789742,0.625,0.625
80,0.8112991240035725,0.625,0.625
81,0.8089744883144223,0.625,0.625
82,0.8061644338619856,0.625,0.625
83,0.8029275800910725,0.625,0.625
84,0.8002800121692283,0.625,0.625
85,0.8024133310542734,0.625,0.625
86,0.7740086167926464,0.75,0.75
87,0.7676354709373359,0.75,0.75
88,0.7686922290650349,0.75,0.75
89,0.7674636588030048,0.75,0.75
90,0.8700642075939493,0.625,0.625
91,0.7759952141952999,0.75,0.75
92,0.7691949430142635,0.75,0.75
93,0.7891048330868954,0.75,0.75
94,0.8331798979782726,0.75,0.75
95,0.8881047923300021,0.625,0.625
96,0.9168550946056129,0.625,0.625
97,0.769379070369319,0.75,0.75
98,0.8332058546861184,0.734375,0.75
99,0.7850757444822316,0.75,0.75
100,0.761615870417049,0.75,0.75
101,0.8055885331450117,0.75,0.75
102,0.7984508428412779,0.75,0.75
103,0.7950454408330122,0.75,0.75
104,0.7987083276109075,0.640625,0.625
105,0.7616158704170491,0.75,0.75
106,0.773798853977193,0.75,0.75
107,0.761615870417049,0.75,0.75
108,0.787371415399372,0.75,0.75
109,0.7737278882464869,0.75,0.75
110,0.8159849519831931,0.75,0.75
111,0.8129346496123262,0.75,0.75
112,0.7481214934315552,0.75,0.75
113,0.7722870903779308,0.75,0.75
114,0.7559622739960034,0.75,0.75
115,0.7481214934315552,0.75,0.75
116,0.8076191453561372,0.75,0.75
117,0.7481214934315552,0.75,0.75
118,0.7668207210253044,0.75,0.75
119,0.7481214934315549,0.75,0.75
120,0.7667918079572801,0.75,0.75
121,0.7992687804393237,0.75,0.75
122,0.749157847944866,0.75,0.75
123,0.7637335950975576,0.75,0.75
124,0.7884763259322697,0.75,0.75
125,0.7873270803807788,0.75,0.75
126,0.8329969851280025,0.75,0.75
127,0.7640178689925059,0.75,0.75
128,0.7634224517775409,0.75,0.75
129,0.7481214934315548,0.75,0.75
130,0.7705539855742969,0.75,0.75
131,0.7481214934315549,0.75,0.75
132,0.8426104523993285,0.75,0.75
133,0.7479054589255794,0.75,0.75
134,0.7099851449424074,0.75,0.75
135,0.7124085337968956,0.75,0.75
136,0.7668425140510231,0.75,0.6875
137,0.7097826343541831,0.75,0.75
138,0.8097746093971496,0.71875,0.6875
139,0.6939917902252442,0.75,0.75
140,0.7540718652714518,0.75,0.75
