iteration,loss,training_acc,test_acc
97,0.9002819179562328,0.625,0.625
98,0.8033531805755161,0.625,0.625
99,0.7818739012855521,0.75,0.6875
100,0.7880242266475012,0.75,0.75
101,0.9486843084260453,0.625,0.625
102,0.7990585861433821,0.625,0.625
103,0.8720656771894799,0.625,0.625
104,0.8003370536079506,0.625,0.625
105,0.771730298003938,0.75,0.8125
106,0.7727189615085117,0.890625,0.875
107,0.7933196430328251,0.625,0.625
108,0.771730298003938,0.75,0.8125
109,0.7938390201310801,0.625,0.625
110,0.7976296234751424,0.625,0.625
111,0.8041572678276243,0.890625,0.9375
112,0.7763948074543071,0.75,0.6875
113,0.7842905328339035,0.625,0.625
114,0.7656292424049027,0.84375,0.6875
115,0.804434189103625,0.625,0.625
116,0.7659211971104014,0.890625,0.875
117,0.7990817233884167,0.6875,0.6875
118,0.7665909920270293,0.890625,0.6875
119,0.8461686536101563,0.625,0.625
120,0.7668261183476812,0.875,0.8125
121,0.8249021739140254,0.75,0.75
122,0.7702508090678973,0.71875,0.75
123,0.9409566064967122,0.625,0.625
124,0.7723211792479765,0.75,0.6875
125,0.9189479327592157,0.625,0.625
126,0.7656292424049027,0.84375,0.6875
127,0.7930674261357117,0.75,0.8125
128,0.7656292424049027,0.84375,0.6875
129,0.8832355734357703,0.625,0.625
130,0.7665606632524977,0.75,0.6875
131,0.7818782254731457,0.625,0.625
132,0.7663870233650762,0.75,0.6875
133,0.8278856163844703,0.625,0.625
134,0.7792001523216959,0.75,0.6875
135,0.7920169558872527,0.625,0.625
136,0.7687702674506733,0.90625,0.9375
137,0.856027412252063,0.6875,0.6875
138,0.7682728856110939,0.75,0.6875
139,0.8146387063596315,0.625,0.625
140,0.7719186041858797,0.875,0.875
141,0.7841375773155554,0.625,0.625
142,0.765477487278875,0.84375,0.875
143,0.8098470732479047,0.625,0.625
144,0.7652402059903752,0.75,0.6875
145,0.8386276781956765,0.625,0.625
146,0.7653277588285954,0.75,0.6875
147,0.8034598002070503,0.625,0.625
148,0.764080172826084,0.75,0.6875
149,0.8485689727715644,0.625,0.625
150,0.7637481532073779,0.75,0.6875
151,0.8239910116169209,0.75,0.75
152,0.764252717747355,0.75,0.6875
153,0.8689654031755983,0.625,0.625
154,0.7696356103963177,0.640625,0.625
155,0.8392134544236193,0.75,0.75
156,0.767424198598361,0.734375,0.75
157,0.856934297423656,0.625,0.625
158,0.7631580568552404,0.75,0.75
