iteration,test_mean_noisy,train_mean_noisy,test_mean_exact,train_mean_exact
0,0.25,0.25,0.25,0.28125
1,0.25,0.25,0.25,0.265625
2,0.25,0.25,0.25,0.2604166666666667
3,0.25,0.25,0.25,0.26171875
4,0.25,0.25,0.25,0.2625
5,0.2708333333333333,0.2786458333333333,0.2708333333333333,0.2890625
6,0.30357142857142855,0.31026785714285715,0.30357142857142855,0.31919642857142855
7,0.328125,0.333984375,0.328125,0.341796875
8,0.3541666666666667,0.3645833333333333,0.3611111111111111,0.3732638888888889
9,0.38125,0.390625,0.3875,0.3984375
10,0.4034090909090909,0.4119318181818182,0.4090909090909091,0.4190340909090909
11,0.4010416666666667,0.4088541666666667,0.40625,0.4153645833333333
12,0.39903846153846156,0.40625,0.40384615384615385,0.4110576923076923
13,0.41517857142857145,0.421875,0.41964285714285715,0.4263392857142857
14,0.42083333333333334,0.4270833333333333,0.42916666666666664,0.43854166666666666
15,0.42578125,0.431640625,0.43359375,0.4423828125
16,0.43014705882352944,0.43566176470588236,0.44485294117647056,0.453125
17,0.4201388888888889,0.4253472222222222,0.4340277777777778,0.4427083333333333
18,0.41118421052631576,0.4161184210526316,0.4243421052631579,0.43338815789473684
19,0.415625,0.4203125,0.43125,0.43984375
20,0.41964285714285715,0.42410714285714285,0.43452380952380953,0.4427083333333333
21,0.42329545454545453,0.4275568181818182,0.4431818181818182,0.4509943181818182
22,0.4266304347826087,0.43070652173913043,0.4483695652173913,0.4578804347826087
23,0.4296875,0.43359375,0.4557291666666667,0.458984375
24,0.43,0.43625,0.46,0.461875
25,0.4326923076923077,0.4387019230769231,0.46634615384615385,0.46814903846153844
26,0.4398148148148148,0.44560185185185186,0.4722222222222222,0.4756944444444444
27,0.44642857142857145,0.45200892857142855,0.47767857142857145,0.47879464285714285
28,0.4482758620689655,0.4536637931034483,0.4827586206896552,0.4849137931034483
29,0.45625,0.4609375,0.4875,0.4895833333333333
30,0.46169354838709675,0.46622983870967744,0.4899193548387097,0.4964717741935484
31,0.46875,0.47119140625,0.49609375,0.50439453125
32,0.4734848484848485,0.4725378787878788,0.4981060606060606,0.5071022727272727
33,0.47794117647058826,0.47702205882352944,0.5018382352941176,0.5105698529411765
34,0.48035714285714287,0.478125,0.5053571428571428,0.5147321428571429
35,0.4809027777777778,0.4787326388888889,0.5086805555555556,0.51953125
36,0.4864864864864865,0.4826858108108108,0.5118243243243243,0.5228040540540541
37,0.4917763157894737,0.4864309210526316,0.5148026315789473,0.5259046052631579
38,0.4951923076923077,0.49038461538461536,0.5176282051282052,0.5284455128205128
39,0.503125,0.49921875,0.51875,0.531640625
40,0.5076219512195121,0.5022865853658537,0.5213414634146342,0.5342987804878049
41,0.5119047619047619,0.5055803571428571,0.5238095238095238,0.5364583333333334
42,0.5188953488372093,0.5123546511627907,0.5247093023255814,0.5392441860465116
43,0.5227272727272727,0.5149147727272727,0.5269886363636364,0.5415482954545454
44,0.525,0.5173611111111112,0.5291666666666667,0.5434027777777778
45,0.5271739130434783,0.5197010869565217,0.53125,0.5451766304347826
46,0.5292553191489362,0.5219414893617021,0.5332446808510638,0.546875
47,0.53125,0.5240885416666666,0.53515625,0.5485026041666666
48,0.5331632653061225,0.5261479591836735,0.5369897959183674,0.5500637755102041
49,0.535,0.528125,0.53875,0.5515625
50,0.5367647058823529,0.5300245098039216,0.5404411764705882,0.5530024509803921
51,0.5384615384615384,0.5318509615384616,0.5420673076923077,0.5543870192307693
52,0.5400943396226415,0.5336084905660378,0.5436320754716981,0.5557193396226415
53,0.5416666666666666,0.5353009259259259,0.5451388888888888,0.5570023148148148
54,0.5431818181818182,0.5369318181818182,0.5465909090909091,0.5582386363636364
55,0.5446428571428571,0.5385044642857143,0.5479910714285714,0.5594308035714286
56,0.5460526315789473,0.5400219298245614,0.5493421052631579,0.5605811403508771
57,0.5474137931034483,0.5414870689655172,0.5506465517241379,0.5616918103448276
58,0.548728813559322,0.5429025423728814,0.551906779661017,0.5627648305084746
59,0.55,0.5442708333333334,0.553125,0.5640625
60,0.5532786885245902,0.5473872950819673,0.5543032786885246,0.5650614754098361
61,0.5544354838709677,0.5486391129032258,0.5554435483870968,0.5660282258064516
62,0.5555555555555556,0.5498511904761905,0.5595238095238095,0.5696924603174603
63,0.556640625,0.551025390625,0.560546875,0.570556640625
64,0.5576923076923077,0.5521634615384615,0.5615384615384615,0.5713942307692308
65,0.5587121212121212,0.5532670454545454,0.5625,0.5722064393939394
66,0.5597014925373134,0.5543376865671642,0.5652985074626866,0.5748600746268657
67,0.5606617647058824,0.5553768382352942,0.5680147058823529,0.5774356617647058
68,0.5615942028985508,0.5563858695652174,0.5697463768115942,0.5776721014492754
69,0.5625,0.5573660714285714,0.5723214285714285,0.5801339285714285
70,0.5633802816901409,0.558318661971831,0.5730633802816901,0.5807658450704225
71,0.5642361111111112,0.5592447916666666,0.5755208333333334,0.5831163194444444
72,0.565068493150685,0.5601455479452054,0.5761986301369864,0.5836900684931506
73,0.5658783783783784,0.5610219594594594,0.5785472972972973,0.5859375
74,0.5666666666666667,0.561875,0.5791666666666667,0.5864583333333333
75,0.5682565789473685,0.5627055921052632,0.5797697368421053,0.5869654605263158
76,0.5689935064935064,0.5635146103896104,0.5795454545454546,0.5874594155844156
77,0.5697115384615384,0.5643028846153846,0.5801282051282052,0.5881410256410257
78,0.5704113924050633,0.5650712025316456,0.5791139240506329,0.5888053797468354
79,0.57109375,0.5658203125,0.5796875,0.5892578125
80,0.5717592592592593,0.5665509259259259,0.5802469135802469,0.5896990740740741
81,0.573170731707317,0.5680259146341463,0.5807926829268293,0.5901295731707317
82,0.5737951807228916,0.5687123493975904,0.5813253012048193,0.5905496987951807
83,0.5744047619047619,0.5693824404761905,0.5818452380952381,0.5909598214285714
84,0.575,0.5700367647058824,0.5823529411764706,0.591360294117647
85,0.5748546511627907,0.5704941860465116,0.5828488372093024,0.5917514534883721
86,0.5754310344827587,0.5711206896551724,0.5847701149425287,0.5935704022988506
87,0.5759943181818182,0.5717329545454546,0.5866477272727273,0.5953480113636364
88,0.5765449438202247,0.5723314606741573,0.5884831460674157,0.5970856741573034
89,0.5770833333333333,0.5729166666666666,0.5902777777777778,0.5987847222222222
90,0.5776098901098901,0.573489010989011,0.5906593406593407,0.5990728021978022
91,0.578125,0.5740489130434783,0.592391304347826,0.6007133152173914
92,0.5786290322580645,0.5745967741935484,0.5940860215053764,0.6023185483870968
93,0.5791223404255319,0.5751329787234043,0.5957446808510638,0.6038896276595744
94,0.5796052631578947,0.5756578947368421,0.5973684210526315,0.6054276315789474
95,0.580078125,0.576171875,0.59765625,0.6056315104166666
96,0.5805412371134021,0.5766752577319587,0.5979381443298969,0.6058311855670103
97,0.5809948979591837,0.5771683673469388,0.5994897959183674,0.6073022959183674
98,0.5814393939393939,0.5776515151515151,0.601010101010101,0.6085858585858586
99,0.5825,0.579375,0.6025,0.61
100,0.5875,0.584375,0.6075,0.6146875
101,0.59125,0.588125,0.6125,0.6196875
102,0.595,0.591875,0.6175,0.6246875
103,0.59875,0.595625,0.6225,0.62953125
104,0.6025,0.599375,0.62625,0.63328125
105,0.606875,0.60265625,0.63,0.6365625
106,0.610625,0.6065625,0.6325,0.6390625
107,0.611875,0.6078125,0.635,0.6415625
108,0.614375,0.60921875,0.63625,0.6428125
109,0.614375,0.60921875,0.6375,0.6440625
110,0.614375,0.60921875,0.63875,0.6453125
111,0.62,0.614375,0.6425,0.6490625
112,0.623125,0.618125,0.64625,0.65296875
113,0.623125,0.618125,0.6475,0.65421875
114,0.625,0.6215625,0.649375,0.655625
115,0.62625,0.6228125,0.651875,0.658125
116,0.63,0.62671875,0.653125,0.659375
