epoch,loss,train_acc,test_acc
0,0.6872079070671694,0.5125,9
1,0.6790619914354197,1.0,20
2,0.6710304624296382,1.0,20
3,0.6628828073638395,1.0,20
4,0.6548088171495571,1.0,19
5,0.6468978934731882,1.0,20
6,0.6390936447957828,1.0,20
7,0.6313421853328323,1.0,20
8,0.623658391073177,1.0,20
9,0.6160887631071473,1.0,20
10,0.6086629257357906,1.0,20
11,0.60137526491281,1.0,20
12,0.5942053401383801,1.0,20
13,0.5871504721891995,1.0,20
14,0.5802312418095418,1.0,20
15,0.5734657080812717,1.0,20
16,0.5668503133916557,1.0,20
17,0.5603717018203147,1.0,20
18,0.5540278004954483,1.0,20
19,0.5478299222517842,1.0,20
20,0.541788050418294,1.0,20
21,0.5359000589520321,1.0,20
22,0.5301576699388068,1.0,20
23,0.5245592722450647,1.0,20
24,0.5191107533666904,1.0,20
25,0.5138148065217348,1.0,20
26,0.5086661485599464,1.0,20
27,0.5036585781844709,1.0,20
28,0.4987916064948067,1.0,20
29,0.4940675356705203,1.0,20
30,0.4894849445266285,1.0,20
31,0.4850383921207734,1.0,20
32,0.4807237379629966,1.0,20
33,0.47654025891286117,1.0,20
34,0.4724869405043884,1.0,20
35,0.468559689286974,1.0,20
36,0.4647535654090979,1.0,20
37,0.46106573631875747,1.0,20
38,0.4574946571365742,1.0,20
39,0.45403747495351976,1.0,20
40,0.45068986310743825,1.0,20
41,0.44744806775531953,1.0,20
42,0.4443096468696094,1.0,20
43,0.4412720476128412,1.0,20
44,0.4383316555469693,1.0,20
45,0.4354846934440254,1.0,20
46,0.4327282487226601,1.0,20
47,0.43005987627688336,1.0,20
48,0.42747667599500705,1.0,20
49,0.42497533184227027,1.0,20
50,0.42255285397542985,1.0,20
51,0.42020676520005795,1.0,20
52,0.41793457255002897,1.0,20
53,0.4157334759188573,1.0,20
54,0.41360070704748414,1.0,20
55,0.41153386621188703,1.0,20
56,0.4095307624268412,1.0,20
57,0.40758909776311436,1.0,20
58,0.4057064887098586,1.0,20
59,0.4038807177359395,1.0,20
60,0.40210979522026874,1.0,20
61,0.40039178082901977,1.0,20
62,0.39872467625249364,1.0,20
63,0.3971065295786658,1.0,20
64,0.39553555435034893,1.0,20
65,0.3940100875510573,1.0,20
66,0.39252847842931843,1.0,20
67,0.3910890775033252,1.0,20
68,0.3896903158876571,1.0,20
69,0.38833073989537564,1.0,20
70,0.3870089590628617,1.0,20
71,0.38572359714612525,1.0,20
72,0.3844733120045772,1.0,20
73,0.3832568396612458,1.0,20
74,0.3820729938701882,1.0,20
75,0.38092062869147286,1.0,20
76,0.37979862048285684,1.0,20
77,0.3787058867561484,1.0,20
78,0.37764140546456243,1.0,20
79,0.37660420596625366,1.0,20
80,0.375593347814527,1.0,20
81,0.37460791657579895,1.0,20
82,0.373647036685805,1.0,20
83,0.3727098785734041,1.0,20
84,0.3717956498358067,1.0,20
85,0.3709035835409683,1.0,20
86,0.37003293766066525,1.0,20
87,0.36918300204795956,1.0,20
88,0.36835310042565833,1.0,20
89,0.3675425842356704,1.0,20
90,0.36675082657667635,1.0,20
91,0.3659772226380351,1.0,20
92,0.36522119332994085,1.0,20
93,0.3644821854544366,1.0,20
94,0.3637596676326831,1.0,20
95,0.3630531267807763,1.0,20
96,0.36236206822811623,1.0,20
97,0.3616860173718403,1.0,20
98,0.3610245193656125,1.0,20
99,0.36037713663542825,1.0,20
