epoch,loss,train_acc,test_acc
0,0.6541787385940552,0.925,19
1,0.6221601366996765,0.975,19
2,0.5940925478935242,0.9875,20
3,0.5771840810775757,0.9875,20
4,0.5699862241744995,0.9875,20
5,0.5651869177818298,1.0,20
6,0.5659185647964478,1.0,20
7,0.5653635263442993,0.9875,20
8,0.5586997270584106,0.9875,20
9,0.5536460280418396,1.0,20
10,0.5467557311058044,1.0,20
11,0.5378936529159546,1.0,20
12,0.5282086133956909,1.0,20
13,0.5186797380447388,1.0,20
14,0.5100355744361877,1.0,20
15,0.5051644444465637,1.0,20
16,0.49794697761535645,1.0,20
17,0.4930149018764496,1.0,20
18,0.48417243361473083,1.0,20
19,0.47878608107566833,1.0,20
20,0.47141188383102417,1.0,20
21,0.4700568616390228,1.0,20
22,0.4692259728908539,1.0,20
23,0.4684303402900696,1.0,20
24,0.4685281217098236,1.0,20
25,0.4689512252807617,1.0,20
26,0.4678231179714203,1.0,20
27,0.46607789397239685,1.0,20
28,0.46612757444381714,1.0,20
29,0.46317988634109497,1.0,20
30,0.45992007851600647,1.0,20
31,0.4616258144378662,1.0,20
32,0.45796090364456177,1.0,20
33,0.4566980004310608,1.0,20
34,0.45595407485961914,1.0,20
35,0.45393070578575134,1.0,20
36,0.4538469910621643,1.0,20
37,0.45262137055397034,1.0,20
38,0.45215529203414917,1.0,20
39,0.4529975950717926,1.0,20
40,0.4527018070220947,1.0,20
41,0.4510704576969147,1.0,20
42,0.45175236463546753,1.0,20
43,0.45057159662246704,1.0,20
44,0.4513266980648041,1.0,20
45,0.4490930140018463,1.0,20
46,0.4503600001335144,1.0,20
47,0.451867014169693,1.0,20
48,0.44766563177108765,1.0,20
49,0.4477221369743347,1.0,20
50,0.44866910576820374,1.0,20
51,0.44584107398986816,1.0,20
52,0.4455011785030365,1.0,20
53,0.44630441069602966,1.0,20
54,0.44390130043029785,1.0,20
55,0.4442211985588074,1.0,20
56,0.4433524012565613,1.0,20
57,0.4442623555660248,1.0,20
58,0.44347184896469116,1.0,20
59,0.44316524267196655,1.0,20
60,0.4439401626586914,1.0,20
61,0.44083350896835327,1.0,20
62,0.44303664565086365,1.0,20
63,0.4415610432624817,1.0,20
64,0.4419567584991455,1.0,20
65,0.4402022957801819,1.0,20
66,0.4395599961280823,1.0,20
67,0.4406537115573883,1.0,20
68,0.44138360023498535,1.0,20
69,0.44150304794311523,1.0,20
70,0.4408941864967346,1.0,20
71,0.44205158948898315,1.0,20
72,0.4408549666404724,1.0,20
73,0.4413653314113617,1.0,20
74,0.44114699959754944,1.0,20
75,0.4413672983646393,1.0,20
76,0.4409523606300354,1.0,20
77,0.44059738516807556,1.0,20
78,0.4407075047492981,1.0,20
79,0.4400225579738617,1.0,20
80,0.4399345815181732,1.0,20
81,0.44084134697914124,1.0,20
82,0.44132232666015625,1.0,20
83,0.43944820761680603,1.0,20
84,0.44085755944252014,1.0,20
85,0.4396614134311676,1.0,20
86,0.4405226707458496,1.0,20
87,0.4405744671821594,1.0,20
88,0.4410979747772217,1.0,20
89,0.4411625862121582,1.0,20
90,0.44000473618507385,1.0,20
91,0.4406414031982422,1.0,20
92,0.44126883149147034,1.0,20
93,0.44302353262901306,1.0,20
94,0.4417076110839844,1.0,20
95,0.43924546241760254,1.0,20
96,0.43974488973617554,1.0,20
97,0.4391462206840515,1.0,20
98,0.43937021493911743,1.0,20
99,0.4393387734889984,1.0,20
