,0
0,0.6931450607195063
1,0.6931036503936506
2,0.693015144334
3,0.692851777280663
4,0.6925825855890255
5,0.6921703280310498
6,0.6915706463667339
7,0.6907315032017243
8,0.6895928993437854
9,0.6880870229365178
10,0.6861390860660754
11,0.683669213528888
12,0.6805956191473999
13,0.6768362199568524
14,0.6722862994610326
15,0.6667797271398619
16,0.6601342157135841
17,0.6521616014218243
18,0.6426555290058853
19,0.6313892742355864
20,0.6183447989121273
21,0.6036853443665153
22,0.5889282482564593
23,0.5722211908879197
24,0.5534814759925865
25,0.5332917451183355
26,0.5125429203148262
27,0.4919245370841019
28,0.4717470824935907
29,0.4516677605119542
30,0.4325648833068742
31,0.4159893890525544
32,0.4018641750883154
33,0.38935013402292457
34,0.3791225603476425
35,0.3714139796863353
36,0.3658365589181279
37,0.361584870415655
38,0.3578577816717944
39,0.35452632444561316
40,0.3512643956899451
41,0.3487732525133658
42,0.34718792468155124
43,0.34614461002900376
44,0.3451940914246749
45,0.3443258450879906
46,0.34352891232529814
47,0.3427924177057801
48,0.3421059936521913
49,0.34146008103533915
50,0.34084610954846073
51,0.34025657926930236
52,0.3396850703258243
53,0.33912620589947706
54,0.33857558884415634
55,0.3380297264567896
56,0.3374859526665391
57,0.3369423525437691
58,0.3363976905381636
59,0.33585134101728664
60,0.33530321725315637
61,0.33475369285255513
62,0.3342035077983435
63,0.3336536501136069
64,0.33310520443277325
65,0.33255916168077726
66,0.33201619117906445
67,0.3314763891914482
68,0.3309390362384193
69,0.33040241637305745
70,0.3298637671015029
71,0.3293194260988374
72,0.3287652074507596
73,0.3281969725721613
74,0.3276112763598114
75,0.3270059064182779
76,0.3263801355321472
77,0.32573459150417106
78,0.3250707834449098
79,0.32439044465213185
80,0.323694901345039
81,0.3229846391859874
82,0.3222591475566934
83,0.32151702526199416
84,0.32075626771423776
85,0.3199746347482928
86,0.3191700091513053
87,0.31834068089420703
88,0.31748551691982196
89,0.3166039952263819
90,0.31569609634461004
91,0.3147620613016894
92,0.31380204998473543
93,0.312815770401002
94,0.3118021892104397
95,0.3107594518030231
96,0.3096851002959087
97,0.3085765613732007
98,0.3074317200507161
99,0.30624930061159694
