,0
0,-2.636676895193136e-07
1,-1.817132986336615e-06
2,-5.3155191696768265e-06
3,-1.1855874137884572e-05
4,-2.278387977234943e-05
5,-3.9766184913198006e-05
6,-6.484242597207165e-05
7,-0.00010048010019518728
8,-0.00014963436188436804
9,-0.00021581327927495592
10,-0.0003031488171775794
11,-0.00041647373479213967
12,-0.0005614045518080533
13,-0.0007444307074727988
14,-0.000973010009583043
15,-0.0012556704418057723
16,-0.0016021183682912493
17,-0.0020233531445000407
18,-0.002531788112930571
19,-0.0031413779324060776
20,-0.003867752160144011
21,-0.004728354977338103
22,-0.005742590921748066
23,-0.006931976465087768
24,-0.00832029724906136
25,-0.009933770771905623
26,-0.011801214297400522
27,-0.013954217740609919
28,-0.016427321269171628
29,-0.019258197345793867
30,-0.02248783692672066
31,-0.02616073952225995
32,-0.030325106818953684
33,-0.03503303955851611
34,-0.0403407373661635
35,-0.04630870122027769
36,-0.053001938256350876
37,-0.06049016860070553
38,-0.06884803393342248
39,-0.07815530748509353
40,-0.08849710517829604
41,-0.09996409763192007
42,-0.11265272275452975
43,-0.12666539866167495
44,-0.1421107366613675
45,-0.15910375406168226
46,-0.177766086564532
47,-0.19822620002000377
48,-0.2206196013261424
49,-0.24508904826965064
50,-0.2717847581135742
51,-0.30086461474859666
52,-0.33249437423502615
53,-0.3668478685728779
54,-0.4041072075475914
55,-0.44446297850885286
56,-0.4881144439496846
57,-0.5352697367623924
58,-0.5861460530571244
59,-0.640969842437658
60,-0.6999769956376083
61,-0.7634130294285109
62,-0.8315332687191982
63,-0.9046030257735259
64,-0.9828977764808603
65,-1.0667033336207465
66,-1.1563160170699218
67,-1.2520428209062544
68,-1.3542015773703135
69,-1.4631211176511232
70,-1.5791414294682076
71,-1.702613811427306
72,-1.8339010241321572
73,-1.9733774380394962
74,-2.1214291780489036
75,-2.2784542648233854
76,-2.4448627528405877
77,-2.621076865178322
78,-2.8075311250416184
79,-3.004672484041898
80,-3.212960447241944
81,-3.4328671949833462
82,-3.6648777015157474
83,-3.909489850449881
84,-4.167214547058666
85,-4.438575827452919
86,-4.724110964660199
87,-5.024370571637307
88,-5.339918701248535
89,-5.671332943243522
90,-6.019204518269911
91,-6.384138368957354
92,-6.766753248110648
93,-7.167681804050809
94,-7.587570663143887
95,-8.02708050955817
96,-8.486886162291189
97,-8.967676649508556
98,-9.4701552802373
99,-9.995039713456759
