,0
0,1.7662307458406568e-07
1,2.8073176495307146e-06
2,-4.19837359947698e-06
3,-2.794628399950672e-05
4,-0.00011305931045967022
5,-0.0003089635419459209
6,-0.0006822337745951091
7,-0.001325707746021669
8,-0.002361478122471413
9,-0.003944948518733627
10,-0.006269825465505358
11,-0.009573693559335426
12,-0.014144080210425762
13,-0.020324986876372984
14,-0.028523880061138245
15,-0.03921913745757247
16,-0.05296794266661088
17,-0.07041461884996632
18,-0.09229938836866353
19,-0.11946754222724149
20,-0.1528790000930969
21,-0.19361823884100787
22,-0.2429045650123768
23,-0.30210270429681346
24,-0.372733679154941
25,-0.45648594401586323
26,-0.5552267461061259
27,-0.6710136789001584
28,-0.8061063944214578
29,-0.9629784401612882
30,-1.1443291862056304
31,-1.3530958082564617
32,-1.592465292582239
33,-1.8658864295146207
34,-2.1770817629023624
35,-2.5300594639160843
36,-2.92912509874615
37,-3.3788932610267652
38,-3.8842990412296996
39,-4.450609306778639
40,-5.08343376821866
41,-5.7887358084149465
42,-6.572843053431894
43,-7.442457665441295
44,-8.404666339710724
45,-9.46694998941707
46,-10.637193103702772
47,-11.923692766033591
48,-13.33516732151718
49,-14.880764683393956
50,-16.570070270409463
51,-18.413114568215306
52,-20.42038030932033
53,-22.602809267421918
54,-24.97180866318669
55,-27.539257179720508
56,-30.317510587067744
57,-33.319406976110486
58,-36.55827160319967
59,-40.04792134774401
60,-43.80266878580969
61,-47.83732588354614
62,-52.16720731495422
63,-56.80813340915172
64,-61.77643273287426
65,-67.08894431447537
66,-72.76301951616308
67,-78.8165235616342
68,-85.26783672664219
69,-92.1358552003648
70,-99.43999162572526
71,-107.20017532706771
72,-115.43685223379717
73,-124.17098450876736
74,-133.42404989034102
75,-143.2180407571559
76,-153.57546292471136
77,-164.51933418294158
78,-176.07318258397316
79,-188.26104448926654
80,-201.10746238532815
81,-214.63748247714068
82,-228.87665206840836
83,-243.85101673764026
84,-259.5871173190117
85,-276.1119866968418
86,-293.45314642241453
87,-311.6386031617461
88,-330.6968449827684
89,-350.65683749025504
90,-371.5480198166655
91,-393.40030047692454
92,-416.24405309499065
93,-440.11011200989583
94,-465.0297677687661
95,-491.0347625141534
96,-518.1572852728273
97,-546.4299671529909
98,-575.8858764567021
99,-606.5585137140874
